公告,#genre#
嘉佳卡通高清,http://120.234.5.29:6000/udp/239.21.0.94:3716 
嘉佳卡通高清,http://120.234.49.37:7000/udp/239.21.0.94:3716 
岭南戏曲高清,http://lzjzyh.xyz:8888/rtp/239.21.0.147:3932 
岭南戏曲高清,http://mryx.fun:1025/udp/239.10.0.125:1025 
岭南戏曲高清,http://mryx.fun:1025/udp/239.11.0.180:1025 
岭南戏曲高清,http://183.30.200.251:10250/udp/239.0.1.60:5080 
岭南戏曲高清,http://183.30.200.162:10250/udp/239.0.1.60:5080 
岭南戏曲高清,http://27.42.215.230:2222/udp/239.0.1.60:5080 
岭南戏曲高清,http:///udp/239.10.0.125:1025 
岭南戏曲高清,http:///udp/239.11.0.180:1025 
岭南戏曲高清,http://120.234.49.38:7000/udp/239.21.0.147:3932 
岭南戏曲高清,http://120.234.5.29:6000/udp/239.21.0.147:3932 
岭南戏曲高清,http://120.234.49.37:7000/udp/239.21.0.147:3932 
现代教育高清,http://lzjzyh.xyz:8888/rtp/239.21.0.148:3936 
现代教育高清,http://mryx.fun:1025/udp/239.11.0.181:1025 
现代教育高清,http://183.30.200.251:10250/udp/239.0.1.62:5103 
现代教育高清,http://183.30.200.162:10250/udp/239.0.1.62:5103 
现代教育高清,http://27.42.215.230:2222/udp/239.0.1.62:5103 
现代教育高清,http:///udp/239.11.0.181:1025 
现代教育高清,http://120.234.49.38:7000/udp/239.21.0.148:3936 
现代教育高清,http://120.234.5.29:6000/udp/239.21.0.148:3936 
现代教育高清,http://120.234.49.37:7000/udp/239.21.0.148:3936 
广东综艺-4K,http://183.30.200.251:10250/udp/239.0.1.169:6030 
广东综艺-4K,http://183.30.200.162:10250/udp/239.0.1.169:6030 
广东综艺-4K,http://27.42.215.230:2222/udp/239.0.1.169:6030 
广东卫视,http://27.11.49.234:8001/rtp/225.0.4.84:7980 
广东卫视,http://123.145.66.223:8002/rtp/225.0.4.84:7980 
广东卫视,http://120.10.101.13:4000/rtp/239.253.92.206:8108 
广东卫视,http://27.11.52.62:8005/rtp/225.0.4.84:7980 
广东卫视,http://27.11.56.206:8004/rtp/225.0.4.84:7980 
广东卫视,http://60.7.56.33:4000/rtp/239.253.92.206:8108 
广东卫视,http://xeace.cn:8888/rtp/239.93.0.181:5140 
广东卫视,http://27.10.214.251:8010/rtp/225.0.4.84:7980 
广东卫视,http://123.145.4.16:8001/rtp/225.0.4.84:7980 
广东卫视,http://183.185.67.213:8085/rtp/226.0.2.146:9080 
广东卫视,http://27.10.134.196:8004/rtp/225.0.4.84:7980 
广东卫视,http://114.241.166.2:8888/rtp/239.3.1.142:8048 
广东卫视,http://114.252.229.100:8000/rtp/239.3.1.142:8048 
广东卫视,http://119.108.155.78:4000/rtp/232.0.0.130:1234 
广东卫视,http://114.243.99.53:4000/rtp/239.3.1.142:8048 
广东卫视,http://49.234.186.50:35455/itv/1000000001000014176.m3u8?cdn=ystenlive 
广东卫视,http://1.14.19.228:35455/itv/1000000001000014176.m3u8?cdn=ystenlive 
广东卫视,http://171.213.195.171:5555/rtp/239.93.0.181:5140 
广东卫视,http://60.26.2.67:7000/rtp/225.1.1.116:5002 
广东卫视,http://60.220.167.67:8084/rtp/226.0.2.146:9080 
广东卫视,http://sweetown.fun:4000/rtp/239.3.1.142:8048 
广东卫视,http://183.185.222.245:8082/rtp/226.0.2.146:9080 
广东卫视,http://171.120.68.254:8083/rtp/226.0.2.146:9080 
广东卫视,http://60.10.225.157:555/rtp/239.253.92.206:8108 
广东卫视,http://171.117.183.206:8002/rtp/226.0.2.45:8272 
广东卫视,http://60.220.167.67:8084/rtp/226.0.2.45:8272 
广东卫视,http://171.120.68.254:8083/rtp/226.0.2.45:8272 
广东卫视,http://171.116.191.164:8084/rtp/226.0.2.45:8272 
广东卫视,http://27.11.49.234:8001/rtp/225.0.4.84:7980 
广东卫视,http://60.220.167.245:8084/rtp/226.0.2.146:9080 
广东卫视,http://60.220.167.245:8084/rtp/226.0.2.45:8272 
广东卫视,http://118.81.48.104:8082/rtp/226.0.2.146:9080 
广东卫视,http://lzjzyh.xyz:8888/rtp/239.20.0.131:2060 
广东卫视,http://114.253.165.121:10000/rtp/239.3.1.142:8048 
广东卫视,http://221.216.137.230:8012/rtp/239.3.1.142:8048 
广东卫视,http://221.221.146.211:8182/rtp/239.3.1.142:8048 
广东卫视超清,http://43.136.119.99/zb0.php?id=239.77.0.166:5146 
广东卫视超清,http://lzjzyh.xyz:8888/rtp/239.20.0.99:3004 
广东卫视超清,http://113.65.95.163:10000/udp/239.77.0.166:5146 
